"x"
"slaskie"
"dolnoslaskie"
"pomorskie"
"lubelskie"
"malopolskie"
"podkarpackie"
"lodzkie"
"warminsko-mazurskie"
"swietokrzyskie"
"mazowieckie"
"zachodniopomorskie"
"wielkopolskie"
"lubuskie"
"opolskie"
"kujawsko-pomorskie"
"podlaskie"
